algorithm_time,avg_time_points,avg_tracks,conflicting_visit_pairs,conflicts,cost,delay_cost_type,exit_code,external_status,index,iterations,lb,max_time_points,name,num_conflicts,num_time_points,num_traveltime,objective_iters,resource_iters,sol_time,solver_name,solver_time,status,time_to_best_value_ms,time_to_first_solution_ms,time_to_optimality_ms,time_to_prove_best_value_ms,total_time,trains,travel_and_resource_iters,travel_iters,ub,value_trace_version
0.25705243499999986,2.749798873692679,20.931034088134766,5915,33,5526,Continuous,,,0,306,5526,13,origA1,96,3418,1810,306,1,2653.898368,SatDddSclTotalizer,2.376014575,ok,2623.557295,10.034058,2632.409932,2632.409932,2.633066676,29,73,221,5526,1
1.6012989069999999,3.6266666666666665,19.0,3735,33,5804,Continuous,,,1,372,5804,21,origA2,139,3536,2083,372,5,4745.411924,SatDddSclTotalizer,3.099735671,ok,4675.372415,27.152026,4699.680928000001,4699.680928000001,4.7010342099999995,25,87,268,5804,1
0.13025175299999997,2.5368852459016393,22.375,2061,33,1329,Continuous,,,2,200,1329,8,origA3,40,1857,973,200,1,277.737304,SatDddSclTotalizer,0.142930206,ok,266.87823199999997,14.237064,271.61674200000004,271.61674200000004,0.273181614,16,30,158,1329,1
0.03707026199999999,2.402173913043478,19.214284896850586,1175,33,2706,Continuous,,,3,181,2706,9,origA4,31,1326,656,181,1,128.831059,SatDddSclTotalizer,0.088677542,ok,108.100053,6.401816999999999,123.668666,123.668666,0.12574746,14,24,147,2706,1
0.045355915000000024,2.8354430379746836,19.25,876,33,2634,Continuous,,,4,209,2634,13,origA5,33,1344,750,209,1,241.00421899999998,SatDddSclTotalizer,0.190640189,ok,230.05067200000002,7.029522,235.11541599999998,235.11541599999998,0.235995808,12,24,173,2634,1
0.006632892,1.7549019607843137,18.625,307,33,2043,Continuous,,,5,80,2043,5,origA6,6,537,207,80,1,13.658102999999999,SatDddSclTotalizer,0.006143542,ok,11.942301,4.753445,12.257489,12.257489,0.012776119,8,3,66,2043,1
0.015014191,3.3523809523809525,12.625,126,33,1918,Continuous,,,6,116,1918,11,origA7,18,704,426,116,1,45.349042,SatDddSclTotalizer,0.028733896,ok,30.398297,4.669008,43.149899999999995,43.149899999999995,0.043747775,8,12,92,1918,1
33.924861142,11.542572463768115,19.214284896850586,4877,33,,Continuous,,,7,454,16640,74,origA8,958,12743,8607,453,1,121115.692617,SatDddSclTotalizer,86.517319352,timeout,53.788783,53.788783,,,120.442179477,28,288,162,33280,1
0.4349436990000002,4.13625304136253,20.049999237060547,2616,33,6178,Continuous,,,8,318,6178,17,origA9,127,3400,2139,317,1,2580.662996,SatDddSclTotalizer,2.117503345,ok,2551.200785,17.860933999999997,2551.200785,2158.779915,2.552446733,20,87,217,6178,1
2.002863045,7.348031496062992,18.176469802856445,1632,33,4746,Continuous,,,9,590,4746,42,origA10,221,4666,3270,590,3,17472.657638,SatDddSclTotalizer,15.391821022,ok,17237.808279,16.495268,17393.371791,17393.371791,17.394683742,17,136,438,4746,1
1.6176792939999984,6.648360655737705,19.83333396911621,6162,33,3331,Continuous,,,10,470,3331,25,origA11,402,8111,5580,470,2,73541.56999999999,SatDddSclTotalizer,71.864711165,ok,35218.279072000005,23.271324999999997,73481.060109,73481.060109,73.482390161,30,188,268,3331,1
1.3775949730000008,6.608520900321543,21.714284896850586,6393,33,,Continuous,,,11,387,4034,25,origA12,444,8221,5474,387,1,120092.367787,SatDddSclTotalizer,118.65186151,timeout,22157.492173000002,21.604152000000003,,,120.029456236,28,178,203,4610,1
0.004301533999999999,1.3115264797507789,17.33333396911621,2022,25,969,Continuous,,,12,93,969,5,origB1,6,842,176,93,1,10.878542,SatDddSclTotalizer,0.006050296,ok,9.351798,2.9128320000000003,9.856675000000001,9.856675000000001,0.010351548,18,4,78,969,1
0.0026179820000000005,1.5555555555555556,14.800000190734863,87,25,347,Continuous,,,13,57,347,5,origB2,4,238,69,57,1,6.0717,SatDddSclTotalizer,0.002888379,ok,3.6035160000000004,3.6035160000000004,4.908438,4.908438,0.005506044,5,3,44,347,1
0.004945716999999999,2.606936416184971,16.799999237060547,136,20,629,Continuous,,,14,116,629,6,origB3,8,451,246,116,1,14.400609999999999,SatDddSclTotalizer,0.00869719,ok,12.50528,4.893454,13.15063,13.15063,0.013642638,5,5,100,629,1
4.517873276000003,3.6231003039513676,15.949999809265137,2246,25,53607,Continuous,,,15,371,53607,31,origB4,138,2384,1236,371,1,37267.049726000005,SatDddSclTotalizer,32.50537129,ok,34918.596626000006,14.565355,37022.493696,37022.493696,37.023244299,20,73,281,53607,1
0.0029175629999999998,1.8961748633879782,17.799999237060547,136,25,288,Continuous,,,16,118,288,4,origB5,4,347,148,118,1,9.843919,SatDddSclTotalizer,0.00653313,ok,8.636794,2.5212619999999997,8.947181,8.947181,0.009450396,5,3,106,288,1
0.0023619970000000002,1.4968152866242037,15.199999809265137,93,25,176,Continuous,,,17,71,176,3,origB6,2,235,70,71,1,6.486846999999999,SatDddSclTotalizer,0.00372834,ok,5.138425000000001,5.066798,5.529268,5.529268,0.00609006,5,1,60,176,1
,,15.25,2865,25,,Continuous,,,18,,,,origB7,,,,,,52515.703664,SatDddSclTotalizer,,oom,,,,,,24,,,,
0.002271612,1.2949640287769784,13.399999618530273,72,25,676,Continuous,,,19,48,676,2,origB8,1,180,37,48,1,6.385819,SatDddSclTotalizer,0.003706053,ok,3.036705,3.036705,5.448776,5.448776,0.005977356,5,0,37,676,1
0.043767379999999995,3.8984771573604062,13.571428298950195,150,25,5967,Continuous,,,20,127,5967,12,origB9,30,768,465,126,1,142.63466,SatDddSclTotalizer,0.092796566,ok,135.530935,5.60343,135.530935,130.14457199999998,0.136563625,7,20,93,5967,1
0.057431497,3.794736842105263,11.375,130,25,5747,Continuous,,,21,133,5747,12,origB10,22,721,447,133,1,191.380211,SatDddSclTotalizer,0.128803738,ok,176.684972,4.651668,183.67245300000002,183.67245300000002,0.186234892,8,14,108,5747,1
,,15.399999618530273,3202,25,,Continuous,,,22,,,,origB11,,,,,,49658.213488999994,SatDddSclTotalizer,,oom,,,,,,25,,,,
0.005681231,1.891025641025641,16.214284896850586,970,25,918,Continuous,,,23,95,918,13,origB12,33,885,291,95,1,12.849957,SatDddSclTotalizer,0.006470699,ok,6.193999000000001,5.1037349999999995,11.249680999999999,11.249680999999999,0.012151619,14,21,62,918,1
24.327163254,10.340305711987128,20.931034088134766,5915,33,,Continuous,,,24,359,9565,41,trackA1,876,12853,8804,358,2,139396.706686,SatDddSclTotalizer,114.702057376,timeout,118349.639964,37.040107000000006,,,139.02922032,29,244,105,9695,1
6.076920602000001,7.48,19.0,3735,33,6859,Continuous,,,25,281,6859,28,trackA2,454,7293,4783,281,1,84235.08770799999,SatDddSclTotalizer,78.035018081,ok,43677.287713,20.382819,84110.993626,84110.993626,84.111938309,25,160,108,6859,1
0.1438963299999999,4.695355191256831,22.375,2061,33,2077,Continuous,,,26,269,2077,17,trackA3,144,3437,2184,269,1,1046.352417,SatDddSclTotalizer,0.893309048,ok,847.2071450000001,13.245011,1036.437659,1036.437659,1.037205055,16,71,184,2077,1
0.03275668500000001,2.931159420289855,19.214284896850586,1175,33,2069,Continuous,,,27,157,2069,13,trackA4,55,1618,860,157,1,135.30137100000002,SatDddSclTotalizer,0.099410309,ok,130.584531,7.078674,131.575577,131.575577,0.132166613,14,30,117,2069,1
0.121921846,4.0042194092827,19.25,876,33,2773,Continuous,,,28,257,2773,20,trackA5,73,1898,1170,256,2,722.633183,SatDddSclTotalizer,0.592596645,ok,713.824232,7.455355,713.824232,695.665054,0.714518189,12,49,194,2773,1
0.071439514,2.8856209150326797,18.625,307,33,1679,Continuous,,,29,140,1679,16,trackA6,33,883,451,139,1,113.261652,SatDddSclTotalizer,0.038735881,ok,109.573983,7.8701550000000005,109.573983,108.108662,0.110175114,8,24,105,1679,1
0.005895347999999998,2.466666666666667,12.625,126,33,1393,Continuous,,,30,120,1393,6,trackA7,11,518,265,120,1,18.170574,SatDddSclTotalizer,0.011570336,ok,16.502015,4.38527,16.944544999999998,16.944544999999998,0.017465375,8,5,103,1393,1
,,19.88888931274414,4862,33,,Continuous,,,31,,,,trackA8,,,,,,70235.484305,SatDddSclTotalizer,,oom,,,,,,27,,,,
5.6134696509999955,7.45985401459854,20.049999237060547,2616,33,6305,Continuous,,,32,388,6305,30,trackA9,351,6132,4087,388,2,32125.967543000002,SatDddSclTotalizer,26.424521888,ok,24145.512413999997,28.955344,32035.928204999997,32035.928204999997,32.037991231,20,157,215,6305,1
0.36546782700000024,4.8283464566929135,18.176469802856445,1632,33,4812,Continuous,,,33,241,4812,25,trackA10,139,3066,1946,241,2,2888.156128,SatDddSclTotalizer,2.497397327,ok,2854.6445780000004,5.080966999999999,2862.153912,2862.153912,2.862864835,17,74,152,4812,1
,,20.482759475708008,6144,33,,Continuous,,,34,,,,trackA11,,,,,,65744.207366,SatDddSclTotalizer,,oom,,,,,,29,,,,
,,21.714284896850586,6393,33,,Continuous,,,35,,,,trackA12,,,,,,74048.28689100001,SatDddSclTotalizer,,oom,,,,,,28,,,,
0.11093854399999997,3.794392523364486,17.33333396911621,2022,25,1507,Continuous,,,36,213,1507,11,trackB1,89,2436,1453,213,1,576.613193,SatDddSclTotalizer,0.458710443,ok,522.088123,7.307362,569.0466600000001,569.0466600000001,0.569648677,18,56,143,1507,1
