algorithm_time,avg_time_points,avg_tracks,conflicting_visit_pairs,conflicts,cost,delay_cost_type,exit_code,external_status,index,iterations,lb,max_time_points,name,num_conflicts,num_time_points,num_traveltime,objective_iters,resource_iters,sol_time,solver_name,solver_time,status,time_to_best_value_ms,time_to_first_solution_ms,time_to_optimality_ms,time_to_prove_best_value_ms,total_time,trains,travel_and_resource_iters,travel_iters,ub,value_trace_version
0.24632960699999984,2.749798873692679,20.931034088134766,5915,33,5526,Continuous,,,0,306,5526,13,origA1,96,3418,1810,306,1,2706.291462,SatDddSclTotalizer,2.437237809,ok,2672.283238,10.850899,2682.447873,2682.447873,2.6835671420000002,29,73,221,5526,1
1.7037423389999997,3.6266666666666665,19.0,3735,33,5804,Continuous,,,1,372,5804,21,origA2,139,3536,2083,372,5,4874.158413,SatDddSclTotalizer,3.123089727,ok,4800.9798,27.673975,4825.589035,4825.589035,4.826831718,25,87,268,5804,1
0.135078073,2.5368852459016393,22.375,2061,33,1329,Continuous,,,2,200,1329,8,origA3,40,1857,973,200,1,292.021927,SatDddSclTotalizer,0.15237121,ok,281.313785,15.266200000000001,286.071819,286.071819,0.287448957,16,30,158,1329,1
0.03499020600000001,2.402173913043478,19.214284896850586,1175,33,2706,Continuous,,,3,181,2706,9,origA4,31,1326,656,181,1,128.291595,SatDddSclTotalizer,0.090068258,ok,108.29524599999999,6.081836999999999,124.384693,124.384693,0.125058169,14,24,147,2706,1
0.04752119400000002,2.8354430379746836,19.25,876,33,2634,Continuous,,,4,209,2634,13,origA5,33,1344,750,209,1,276.50109899999995,SatDddSclTotalizer,0.223803683,ok,263.730535,7.575526,270.51887400000004,270.51887400000004,0.271324572,12,24,173,2634,1
0.005212161,1.7549019607843137,18.625,307,33,2043,Continuous,,,5,80,2043,5,origA6,6,537,207,80,1,12.319607999999999,SatDddSclTotalizer,0.006448228,ok,10.862823,3.477052,11.149601,11.149601,0.011660077,8,3,66,2043,1
0.015426508999999998,3.3523809523809525,12.625,126,33,1918,Continuous,,,6,116,1918,11,origA7,18,704,426,116,1,45.558292,SatDddSclTotalizer,0.028722801,ok,30.795105,4.314029,43.419089,43.419089,0.044149029,8,12,92,1918,1
33.95944449300001,11.484601449275363,19.214284896850586,4877,33,,Continuous,,,7,453,16640,73,origA8,949,12679,8567,452,1,120658.18290199999,SatDddSclTotalizer,86.041973578,timeout,54.543836,54.543836,,,120.001417757,28,287,162,33280,1
0.43725805200000023,4.13625304136253,20.049999237060547,2616,33,6178,Continuous,,,8,318,6178,17,origA9,127,3400,2139,317,1,2622.000291,SatDddSclTotalizer,2.153276159,ok,2589.463494,19.122296000000002,2589.463494,2189.3217050000003,2.590533905,20,87,217,6178,1
1.8807060930000006,7.348031496062992,18.176469802856445,1632,33,4746,Continuous,,,9,590,4746,42,origA10,221,4666,3270,590,3,17314.251263,SatDddSclTotalizer,15.358785807,ok,17089.675779,17.92603,17238.328607,17238.328607,17.239491551,17,136,438,4746,1
